title,artist,duration,date,popularity,danceability,tempo
Cold Heart - PNAU Remix,Elton John,202735,10/22/21,73,0.795,116.032
Tick Tock (feat. 24kGoldn),Clean Bandit,178373,8/21/20,73,0.779,101.022
Lean On,Major Lazer,176561,11/27/15,73,0.723,98.007
Turn Me On (feat. Vula),Riton,208473,9/13/19,73,0.737,124.051
Lovefool,twocolors,190487,5/8/20,72,0.677,123.062
Never Really Over,Katy Perry,223523,5/31/19,72,0.77,99.991
Rather Be (feat. Jess Glynne),Clean Bandit,227833,1/17/14,73,0.799,120.97
Lasting Lover,Sigala,218358,9/4/20,73,0.676,125.983
Some Say - Felix Jaehn Remix,Nea,186878,1/10/20,72,0.682,120.03
What's Love Got to Do with It,Kygo,208156,7/17/20,72,0.75,105.023
Rise,Jonas Blue,194407,11/9/18,72,0.687,106.046
Latch,Disclosure,255866,6/3/13,72,0.729,121.986
Solo (feat. Demi Lovato),Clean Bandit,222653,5/17/18,72,0.737,105.005
Heroes (we could be),Alesso,210013,5/26/15,72,0.503,125.896
Secrets,Regard,176766,4/24/20,71,0.848,118.961
UP,INNA,148944,12/17/21,71,0.812,98.029
Happy Now,Zedd,207029,7/18/18,71,0.503,88.335
Like A G6,Far East Movement,216893,1/1/10,71,0.435,124.913
CTRL + ALT + DEL,R̻ve,153166,9/17/21,70,0.779,119.94
"Alone, Pt. II",Alan Walker,179052,11/26/21,70,0.673,88.011
Titanium (feat. Sia),David Guetta,245040,8/24/11,69,0.604,126.06
More Than A Woman - SG's Paradise Edit,Bee Gees,357936,6/25/21,69,0.679,105.407
So Close,NOTD,190302,11/2/18,69,0.7,125.03
Don't Go (with Justin Bieber & Don Toliver),Skrillex,168253,8/20/21,69,0.689,75.05
About Damn Time - Purple Disco Machine Remix,Lizzo,218476,5/18/22,69,0.8,118.991
Post Malone (feat. RANI),Sam Feldt,174444,5/24/19,69,0.59,107.356
Memories (feat. Kid Cudi),David Guetta,210093,8/21/09,69,0.561,129.98
Love Again - Imanbek Remix,Dua Lipa,214000,10/1/21,68,0.717,119.999
Off Of My Mind,Icona Pop,164739,7/9/21,68,0.798,125.996
Roses - Imanbek Remix,SAINt JHN,176867,11/20/20,68,0.769,121.955
Ritual,Ti'sto,198995,5/31/19,68,0.647,114.996
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,193548,10/25/19,68,0.732,124.024
Hot Stuff,Kygo,199007,9/18/20,67,0.681,119.961
You Don't Know Me (feat. RAYE),Jax Jones,212573,7/12/19,67,0.879,123.977
Easy Love,Sigala,229813,9/28/18,67,0.68,123.976
This Is What It Feels Like,Armin van Buuren,204360,5/3/13,67,0.551,129.885
Headphones,Banx & Ranx,148015,3/25/22,66,0.887,117.056
if we never met - remix,John K,186594,2/14/20,66,0.927,114.994
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,217346,2012,65,0.596,127.961
Jackie Chan,Ti'sto,215759,5/15/20,65,0.747,128.008
Sexual,NEIKED,188888,2016,64,0.797,108.024
My Universe - Galantis Remix,Coldplay,224908,10/11/21,64,0.596,120.024
All Around The World (La La La),R3HAB,147840,7/26/19,63,0.733,124.948
