artist,followers,genres,popularity
JOY,653538,['k-pop'],53
NOBITA,720736,['opm'],62
Pamungkas,3545839,"['indonesian pop', 'indonesian singer-songwriter']",68
Kelsea Ballerini,938013,"['contemporary country', 'country', 'pop']",70
Nightbirde,161504,[],46
Jamie Miller,379483,"['pop', 'pop soul']",66
M̴neskin,6219594,"['indie rock italiano', 'italian pop']",78
Donell Lewis,36833,"['nz hip hop', 'pacific islands pop', 'slow game']",49
dhruv,353988,"['chill r&b', 'nyc pop', 'pop']",68
Trinidad Cardona,162728,[],62
Glass Animals,3311311,"['indie','gauze pop', 'indietronica', 'shiver pop']",80
LOONA,1995620,"['k-pop', 'k-pop girl group']",66
Madison Beer,5419615,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",72
Arthur Miguel,222489,['opm'],59
Belle Mariano,110203,['opm'],49
Sarah Cothran,267712,['gen z singer-songwriter'],61
D.O.,1527171,['k-pop'],59
Bread,1324100,"['adult standards', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",64
A-Wall,48564,['bedroom pop'],60
Clinton Kane,772394,"['alt z', 'gen z singer-songwriter', 'pop', 'uk pop']",68
Sezairi,97005,"['singaporean pop', 'singaporean singer-songwriter']",57
Oliver Tree,1848498,['alternative hip hop'],70
bbno$,1106190,"['indie']",73
STAYC,988354,"['k-pop', 'k-pop girl group']",68
LISA,3656296,['k-pop'],71
jikamarie,25762,[],42
THE ANXIETY,150218,['modern alternative pop'],64
Elton John,10067239,"['glam rock', 'mellow gold', 'piano rock']",84
CKay,1004245,['afro r&b'],73
girl in red,5249408,"['indie','bedroom pop', 'bubblegrunge', 'indie pop', 'norwegian indie', 'pop']",76
The Walters,404755,['indie','chicago indie'],71
Jessi,1505907,['k-pop'],65
RealestK,195324,[],65
"Car, the garden",110333,"['indie','k-indie', 'korean pop']",51
Swedish House Mafia,3599679,"['edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']",76
BoyWithUke,2246886,[],76
Bruno Major,950798,['pop'],69
Celina Sharma,22385,[],51
JIN,3233674,['k-pop'],60
ASTN,231237,"['bedroom soul', 'chill r&b', 'pop']",61
Benson Boone,419200,"['pop', 'uk pop']",72
Amaarae,137967,"['afro r&b', 'alternative r&b', 'ghanaian alternative', 'ghanaian pop']",64
GAYLE,524623,['modern alternative pop'],71
Jaymes Young,820499,"['modern rock', 'pop', 'uk pop']",71
IVE,1160386,['k-pop girl group'],75
mrld,132708,['opm'],61
Emmy Meli,151327,['high vibe'],58
ACRAZE,73398,[],68
NCT 2021,129805,['k-pop'],44
Yung Lean,739841,"['psychedelic hip hop', 'underground hip hop']",67
Amy Grant,191371,['christian music'],54
Farruko,14024500,"['dance pop', 'reggaeton']",84
Kep1er,796910,['k-pop'],66
WOOZI,112032,[],43
Edison Lighthouse,35705,['bubblegum pop'],59
Stephanie Beatriz,37673,[],69
Ylona Garcia,123685,[],49
TAEYONG,971843,['k-pop'],58
Sebastian Yatra,19985683,"['colombian pop', 'reggaeton colombiano']",81
Lauren Spencer Smith,794130,"['alt z', 'gen z singer-songwriter', 'pop', 'uk pop']",71
Alfie Castley,16624,[],47
grentperez,199724,['chill r&b'],64
Kim Kyung Hee,22263,['korean ost'],45
Gatton,57552,"['gen z singer-songwriter', 'opm']",55
Gunna,4575063,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",84
MARK,369778,[],47
David Pomeranz,187277,"['opm', 'soft rock']",56
Jung Kook,3930294,[],76
Madonna,6348228,"['dance pop', 'pop']",77
Dove Cameron,3745834,"['pop', 'post-teen pop']",73
Sam Concepcion,151386,['opm'],55
Coyote Theory,84043,[],65
NMIXX,655912,['k-pop girl group'],64
Em Beihold,258711,"['alt z', 'gen z singer-songwriter']",68
JVKE,581677,['indie','modern indie pop'],76
Nica del Rosario,10663,[],41
Elley Duh̩,319853,"['alt z', 'pop']",75
WILLOW,2236207,"['afrofuturism', 'pop', 'post-teen pop']",76
Munimuni,499667,['indie','pinoy indie'],53
BIGBANG,4890181,"['k-pop', 'k-pop boy group']",65
anees,288611,[],62
Nicky Youre,62717,[],75
Cliff,2248,[],50
Jimin,2175726,[],65
Denise Julia,48322,[],62
Cafun̩,106002,['brooklyn indie'],69
Gabriel Valenciano,2183,[],22
Ric Segreto,58218,"['classic opm', 'opm', 'soft rock']",52
LE SSERAFIM,610718,['k-pop'],69
Stephen Sanchez,219919,"['gen z singer-songwriter', 'pop']",75
Agat,1292,[],24
New West,98868,['toronto indie'],62
Kate Bush,1455316,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter', 'uk pop']",78
Duke & Jones,46172,['uk dance'],62
Seafret,671550,['folk-pop'],73
NAYEON,548544,[],70
Lola Amour,238478,"['opm', 'pinoy indie', 'pinoy rock']",58
Keane,2648268,"['neo mellow', 'piano rock', 'pop rock']",72
Steve Lacy,2101707,"['afrofuturism', 'pop', 'indie']",85
Yung Gravy,1468370,['minnesota hip hop'],75
Rosa Linn,86642,[],77
NewJeans,614778,[],76
Girls' Generation,2239800,"['k-pop', 'k-pop girl group']",70
Arctic Monkeys,15966216,"['indie','garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",86
Ghost,1785527,"['hard rock', 'metal']",78
Fujii Kaze,955401,['japanese teen pop'],72
yuji,18210,[],60
