artist,followers,genres,popularity
Travis Scott,21033302,"['hip hop', 'rap', 'slap house']",87
Various Artists,1568537,[],0
Louis Tomlinson,6390867,"['pop', 'post-teen pop']",69
JAY-Z,7614930,"['east coast hip hop', 'hip hop', 'rap']",84
Jake Zyrus,14541,['opm'],26
Charli XCX,2663839,"['art pop', 'candy pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk pop']",77
Dimitri Vegas & Like Mike,3264450,"['belgian dance', 'belgian edm', 'big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']",70
21 Savage,11671809,"['atl hip hop', 'rap', 'trap']",86
Skrillex,7982336,"['brostep', 'complextro', 'edm', 'electro']",75
Avicii,22076915,"['dance pop', 'edm', 'pop', 'pop dance']",80
Parokya Ni Edgar,2907054,"['opm', 'pinoy reggae', 'pinoy rock']",63
Five For Fighting,761265,"['acoustic pop', 'neo mellow', 'piano rock', 'pop rock']",59
The Juans,851291,['opm'],55
Caleb Santos,37348,"['acoustic opm', 'opm']",49
Janine Te̱oso,346911,"['opm', 'pinoy singer-songwriter']",54
Rivermaya,1514402,"['opm', 'pinoy rock', 'pop rock']",57
Daniel Caesar,3470467,"['canadian contemporary r&b', 'pop', 'r&b']",77
CNCO,9176960,"['boy band', 'latin pop', 'reggaeton']",70
Astrid S,1257404,"['alt z', 'dance pop', 'norwegian pop', 'pop', 'tropical house', 'uk pop']",67
Matoma,707516,"['dance pop', 'deep tropical house', 'edm', 'electro house', 'electropop', 'norwegian pop', 'pop', 'pop dance', 'pop edm', 'tropical house', 'uk pop']",66
XXXTENTACION,38059463,"['emo rap', 'miami hip hop']",87
Portugal. The Man,1327054,"['modern rock', 'rock']",64
Pinkfong,173884,"['cartoon', ""children's music"", 'dong-yo']",65
R3HAB,2391885,"['dance pop', 'dutch house', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'slap house', 'tropical house']",76
Craig David,801992,"['british soul', 'dance pop', 'r&b', 'urban contemporary']",65
WALK THE MOON,1955235,"['indie','dance rock', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",68
Fall Out Boy,9545836,"['emo', 'modern rock']",78
Ti'sto,6510217,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",82
NF,7452170,"['hip hop', 'pop rap', 'rap']",79
Gryffin,849175,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']",73
Eminem,59448539,"['detroit hip hop', 'hip hop', 'rap']",90
SHY Martin,261630,"['alt z', 'australian pop', 'electropop', 'pop', 'post-teen pop', 'swedish electropop']",64
A$AP Ferg,3350675,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",72
Red Velvet,7502211,"['k-pop', 'k-pop girl group']",72
Diplo,2499873,"['edm', 'electro house', 'house', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']",79
Anitta,12191008,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",81
Lil Xan,2244596,['emo rap'],59
Offset,2433305,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",78
Kamikazee,1165172,"['opm', 'pinoy pop punk', 'pinoy rock']",57
Jose Mari Chan,332702,"['classic opm', 'opm', 'soft rock']",57
Andy Williams,444539,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'mellow gold']",58
Wham!,2026454,"['dance pop', 'disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",66
Lea Salonga,160765,"['hollywood', 'movie tunes', 'show tunes', 'tagalog worship']",59
Ben&Ben,5938918,['opm'],71
Various Artists,1568537,[],0
Anne-Marie,9985526,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",77
Britney Spears,11316588,"['dance pop', 'pop']",81
Aiza Seguerra,520101,['opm'],49
Gary Valenciano,877831,"['classic opm', 'opm', 'papuri', 'pinoy praise']",52
ABS-CBN Music All Star,8697,[],50
Brenda Lee,276128,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rockabilly']",56
The Jackson 5,1290839,"['motown', 'soul']",66
Bobby Helms,25030,[],49
Carly Rae Jepsen,5138132,"['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",71
Bing Crosby,411926,"['adult standards', 'easy listening', 'lounge']",56
Lyca Gairanod,26289,['deep talent show'],35
Maria Aragon,903,[],27
Alisah Bonaobra,3867,[],24
Rachelle Ann Go,443708,['opm'],49
Janice Javier,2429,[],28
Nat King Cole,1896651,"['adult standards', 'lounge', 'vocal jazz']",66
Eartha Kitt,149085,"['adult standards', 'lounge', 'torch song', 'vocal jazz']",48
Ella Fitzgerald,2171327,"['adult standards', 'jazz blues', 'lounge', 'swing', 'vocal jazz']",67
Gwen Stefani,5520374,"['dance pop', 'pop']",72
Bamboo,7044,[],28
Pentatonix,3372711,['a cappella'],65
Acapellago,2700,[],11
Girls' Generation-TTS,567304,"['k-pop', 'k-pop girl group']",40
Glee Cast,1485834,"['glee club', 'hollywood', 'post-teen pop']",71
Aegis,205864,"['classic opm', 'opm']",46
Regine Velasquez,1442468,"['classic opm', 'opm']",57
Band Aid,22543,['musical advocacy'],40
Jamie Rivera,123810,"['classic opm', 'opm', 'papuri', 'pinoy praise']",45
Frank Sinatra,5787821,"['adult standards', 'easy listening', 'lounge']",75
Darren Espanto,444518,['opm'],45
Benni Sparks,680,[],18
Joakim Lundell,129641,['swedish pop'],47
Marion Aunor,33686,['opm'],40
Sweater Beats,42661,"['gauze pop', 'vapor twitch']",42
Markus,3968,['pinoy singer-songwriter'],30
Michael Jackson,24158565,"['pop', 'r&b', 'soul']",82
Matt Terry,125147,"['talent show', 'uk pop']",43
John Roa,1210655,['opm'],58
Zac Efron,751841,"['hollywood', 'pop', 'post-teen pop', 'show tunes']",68
Keala Settle,145423,"['broadway', 'hollywood', 'show tunes']",64
The Cranberries,3031168,"['irish rock', 'pop rock']",71
Nadine Lustre,218069,"['opm', 'pinoy r&b']",47
Bazzi,5135486,"['dance pop', 'electropop', 'pop']",74
Loren Allred,112373,"['deep talent show', 'hollywood', 'movie tunes']",58
Ziv Zaifman,10384,['show tunes'],56
Hugh Jackman,568841,"['hollywood', 'show tunes']",66
Michelle Williams,9649,['hollywood'],58
Austyn Johnson,5508,['show tunes'],44
Elliott Yamin,111678,[],44
Jim Brickman,103876,"['new age', 'new age piano']",55
BlocBoy JB,1381249,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap', 'vapor trap', 'viral rap']",61
ScHoolboy Q,4251898,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",72
Jay Rock,1292970,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",70
December Avenue,4890323,"['opm', 'pinoy pop punk']",63
5 Seconds of Summer,8837633,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'uk pop']",79
Janelle Monae,1249161,"['afrofuturism', 'alternative r&b', 'atl hip hop', 'electropop', 'escape room', 'neo soul']",65
Robinson,96912,"['alt z', 'australian pop', 'nz pop', 'uk pop']",49
MOMOLAND,3466727,"['k-pop', 'k-pop girl group']",56
King Princess,1583887,"['indie','alt z', 'art pop', 'electropop', 'indie pop', 'indie poptimism', 'nyc pop', 'pop']",61
Lil Dicky,1905762,"['comedy rap', 'pop rap']",62
Dennis Lloyd,614451,['israeli pop'],66
Mr. Probz,320265,"['dutch hip hop', 'tropical house']",64
N.E.R.D,762589,"['hip hop', 'virginia hip hop']",58
Rich The Kid,2883558,"['atl hip hop', 'hip hop', 'melodic rap', 'plugg', 'pop rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']",68
Poo Bear,43731,['pop r&b'],59
TWICE,14883453,"['k-pop', 'k-pop girl group']",82
CHVRCHES,1314813,"['electropop', 'metropopolis', 'neo-synthpop', 'shimmer pop']",64
Gavin James,669987,"['irish pop', 'neo mellow', 'pop']",63
J. Cole,17897180,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",85
ELI,29753,"['german pop', 'uk pop']",45
Christopher,236664,['danish pop'],58
Billie Eilish,68808271,"['art pop', 'electropop', 'dance pop']",88
Kyle Juliano,195146,['opm'],49
HEDEGAARD,69437,"['danish electronic', 'scandipop']",57
Jess Glynne,2822323,"['australian pop', 'dance pop', 'neo mellow', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",72
Chlara,45689,['viral pop'],49
Years & Years,1922914,"['dance pop', 'edm', 'electropop', 'gauze pop', 'pop', 'pop dance', 'tropical house', 'uk pop']",70
Oasis,7730604,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'pop rock', 'rock']",76
Pharrell Williams,4021568,"['hip hop', 'pop']",81
The 1975,5795764,"['modern alternative rock', 'modern rock', 'pop', 'rock']",77
Juice WRLD,25683522,"['chicago rap', 'melodic rap']",89
Kanye West,18234143,"['chicago rap', 'rap']",91
The Itchyworms,1048961,"['opm', 'pinoy rock']",56
Alec Benjamin,3793141,"['alt z', 'dream smp', 'electropop', 'pop']",77
MNEK,273711,"['tropical house', 'uk contemporary r&b', 'uk dance', 'uk pop']",72
Andrea Babierra,1730,['opm'],21
88rising,842538,"['asian american hip hop', 'pop']",69
Panic! At The Disco,11432148,['modern rock'],79
Jeremy Zucker,2026094,"['electropop', 'pop']",73
Boyce Avenue,3038071,"['acoustic cover', 'neo mellow', 'pop', 'viral pop']",70
Joseph Vincent,330429,['viral pop'],61
Amber Leigh Irish,22463,"['acoustic cover', 'channel pop', 'neo mellow', 'viral pop']",51
Matt Johnson,36634,"['acoustic cover', 'channel pop', 'neo mellow', 'viral pop']",55
Loud Luxury,563502,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",69
Unique Salonga,287773,"['indie','opm', 'pinoy indie']",55
iKON,3358373,"['k-pop', 'k-pop boy group']",62
Triple H,497153,['k-pop'],39
Angelina Cruz,43779,"['acoustic opm', 'opm']",28
6ix9ine,6698019,"['emo rap', 'rap', 'trap']",72
Dynoro,245476,"['edm', 'electro house', 'pop dance', 'tropical house']",66
Kina Grannis,493077,"['acoustic pop', 'neo mellow', 'viral pop']",63
Dean Lewis,2179485,"['australian pop', 'pop', 'uk pop']",76
Imago,771789,"['opm', 'pinoy rock', 'pop rock']",48
Nyoy Volante,78250,['opm'],41
HONNE,1430776,"['pop', 'uk pop']",65
Kris Kross Amsterdam,179081,"['dutch house', 'dutch pop']",64
Girls' Generation-Oh!GG,190733,"['k-pop', 'k-pop girl group']",42
Silk City,77054,['edm'],57
Alesso,3848257,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",76
Khel Pangilinan,629424,['opm'],49
Joji,6879574,['viral pop'],84
Gucci Mane,4463241,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",77
Lil Peep,8993230,"['emo rap', 'lgbtq+ hip hop']",82
Lil Wayne,12612330,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",85
This Band,1647261,['opm'],50
Lil Mosey,4757432,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap', 'viral rap']",71
Drei Rana,38474,"['acoustic opm', 'opm']",29
Patch Quiwa,384680,['opm'],44
Bad Bunny,56102971,"['dance pop']",100
Kodak Black,8492996,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']",81
Ava Max,5638621,"['dance pop', 'pop']",80
Westlife,3166615,"['boy band', 'europop']",69
Queen,42760380,"['classic rock', 'glam rock', 'rock']",84
IZ*ONE,1522833,"['k-pop', 'k-pop girl group']",62
Lil Eddie,25658,[],46
K/DA,1624375,['k-pop girl group'],65
IU,7372462,['k-pop'],71
JENNIE,2743019,['k-pop'],61
Lavaado,9998,[],25
Meek Mill,6502347,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",75
Mark Ronson,975202,"['dance pop', 'pop', 'uk pop']",74
Paul McCartney,4124920,"['album rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",69
Dean Martin,1362960,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",66
Brett Eldredge,1412480,"['contemporary country', 'country', 'country road', 'modern country rock']",63
John Lennon,5044236,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']",68
The Ronettes,216788,"['brill building pop', 'classic girl group', 'rock-and-roll', 'soul']",57
Perry Como,422063,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']",56
Burl Ives,72986,"['adult standards', 'american folk revival']",47
Daryl Hall & John Oates,1902662,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",70
Nef Medina,984,['opm'],33
Jos̩ Feliciano,305823,"['bolero', 'latin pop', 'puerto rican pop']",63
Tony Bennett,751570,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",61
Kithara,10234,['opm'],24
Chris Rea,789927,"['album rock', 'art rock', 'blues rock', 'classic rock', 'mellow gold', 'soft rock', 'sophisti-pop']",58
Elvis Presley,7226142,"['rock-and-roll', 'rockabilly']",81
Tres Hermanas,12717,['acoustic opm'],31
Bruce Springsteen,5049495,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",74
Kylie Minogue,1545957,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop', 'uk pop']",68
Ariel Rivera,320299,"['classic opm', 'opm']",48
Christina Aguilera,7124509,"['dance pop', 'pop', 'post-teen pop']",77
Cocoy Claravall,2413,['pinoy singer-songwriter'],16
Judy Garland,213714,"['adult standards', 'hollywood', 'lounge', 'torch song', 'vocal jazz']",48
Shakin' Stevens,117169,"['classic uk pop', 'new wave pop', 'rock-and-roll', 'rockabilly', 'soft rock']",52
Chuck Berry,1659347,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly']",64
SHAUN,330828,['k-pop'],60
SHAED,154298,"['electropop', 'pop']",59
PDL,123016,"['opm', 'pinoy hip hop', 'pinoy r&b']",50
Feder,191132,"['new french touch', 'tropical house']",57
Alex Gonzaga,57078,['brazilian gospel'],32
Russ,4533381,"['hawaiian hip hop', 'rap']",77
Skylar Grey,541139,"['piano rock', 'viral pop']",69
A Boogie Wit da Hoodie,6753866,"['melodic rap', 'rap', 'trap']",80
Gesaffelstein,450972,"['dark clubbing', 'destroy techno']",75
Lewis Capaldi,9902167,"['pop', 'uk pop']",80
Galantis,3266315,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",74
JM De Guzman,131738,['opm'],41
ITZY,4702597,['k-pop girl group'],73
Armi Millare,12179,['pinoy singer-songwriter'],30
Billy Crawford,14912,"['opm', 'pinoy r&b']",35
Mabel,1672163,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",70
TOMORROW X TOGETHER,6812234,"['k-pop', 'k-pop boy group']",77
FLETCHER,682554,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",72
Maren Morris,684252,"['contemporary country', 'country', 'pop', 'texas country']",74
Rex Orange County,4583529,"['bedroom pop', 'pop']",81
Lil Nas X,11842926,"['lgbtq+ hip hop', 'pop']",81
Avery,91,[],0
EVERGLOW,1598194,"['k-pop', 'k-pop girl group']",61
Alisson Shore,248912,"['opm', 'pinoy r&b']",56
Dominic Fike,961507,"['alternative pop rock', 'pop']",73
Join The Club,284755,"['opm', 'pinoy rock']",48
Lizzo,5014648,"['dance pop', 'escape room', 'minnesota hip hop', 'pop']",80
WINNER,2366763,"['k-pop', 'k-pop boy group']",58
Agsunta,600778,"['opm', 'pinoy rock']",50
"Tyler, The Creator",9567791,"['hip hop', 'rap']",85
Mena Massoud,17689,"['hollywood', 'show tunes']",50
Naomi Scott,330478,"['hollywood', 'vapor pop']",62
Alan Menken,99674,"['broadway', 'disney', 'hollywood', 'movie tunes', 'orchestral soundtrack', 'show tunes']",59
Young Thug,7471716,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",84
LeeHi,1380458,"['k-pop', 'pop']",66
JEON SOMI,1647953,['k-pop'],62
Ali Gatie,1951064,"['canadian hip hop', 'pop']",71
Rene̩ Dominique,105050,['indie','pinoy indie'],46
Donnalyn,281233,['opm'],41
Ashley O,58764,[],44
J Boog,260183,"['jawaiian', 'kaneka', 'pacific islands pop']",57
Arvey,42529,['pinoy hip hop'],39
Stephanie Poetri,523512,[],55
Kina,736521,['sad lo-fi'],68
Lil Tecca,5467230,"['melodic rap', 'pluggnb', 'rap']",78
Tones And I,2976436,"['australian pop', 'pop']",72
Megan Thee Stallion,7059183,"['dance pop', 'houston rap', 'pop', 'rap', 'trap queen']",82
Justin Vasquez,198882,"['opm', 'pinoy r&b']",45
X1,347114,['k-pop'],40
SB19,557171,"['opm', 'pinoy idol pop']",59
Magnus Haven,415409,['opm'],51
Dan + Shay,2744242,"['contemporary country', 'country', 'country road', 'pop']",72
SuperM,1956646,['k-pop'],55
Michael Dutchi Libranda,246246,['opm'],42
Regard,194539,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']",71
My Chemical Romance,7062686,"['emo', 'pop punk']",77
Ant Saunders,84902,"['chill r&b', 'pop']",52
JP Saxe,371396,"['alt z', 'canadian contemporary r&b', 'neo mellow', 'pop', 'uk pop']",67
Idina Menzel,399018,"['hollywood', 'show tunes']",69
Tatak Pinoy All-Stars,10014,[],32
Jonathan Groff,101086,"['hollywood', 'show tunes']",62
Kristen Bell,77819,"['disney', 'hollywood']",64
Josh Gad,27938,"['hollywood', 'movie tunes', 'show tunes']",60
Evan Rachel Wood,23537,['hollywood'],57
Kacey Musgraves,1166686,"['country dawn', 'pop', 'texas country']",69
Stormzy,2545151,"['grime', 'uk hip hop']",71
Hotdog,51954,"['classic opm', 'manila sound', 'opm']",43
Jack Stauber,1371457,['indie','pittsburgh indie'],63
U2,10197439,"['irish rock', 'permanent wave', 'rock']",77
Darlene Love,45792,['brill building pop'],43
MAMAMOO,5801933,"['k-pop', 'k-pop girl group']",64
KAROL G,28594528,"['reggaeton', 'reggaeton colombiano']",87
Roddy Ricch,8372692,"['melodic rap', 'rap', 'trap']",80
DaBaby,10078783,"['north carolina hip hop', 'rap', 'trap']",83
Don Toliver,2282648,"['pop', 'rap', 'trap']",79
Doja Cat,21931652,"['dance pop', 'pop']",88
PUBLIC,191457,['indie','indie rockism'],61
BROCKHAMPTON,2008974,"['boy band', 'hip hop', 'rap']",68
NIKI,1898378,"['indonesian r&b', 'pop']",76
Bee Gees,6040758,"['disco', 'mellow gold', 'soft rock']",76
Young Vito,616,[],3
Wiz Khalifa,10716085,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",82
Surfaces,867856,"['bedroom soul', 'pop']",71
